id,flow1,flow2
3226,0.92,1.04
3227,0.15,0.17
3228,0.1,0.11
3229,17.46,19.05
3230,0.34,0.39
3231,0.7,0.79
3232,0.14,0.16
3233,1.83,1.95
3234,0.15,0.17
3235,1.78,1.98
3236,1.15,1.25
3237,0.27,0.32
3238,0.57,0.63
3239,0.15,0.17
3240,1.38,1.47
3241,0.28,0.32
3242,3.18,3.32
3243,0.19,0.22
3244,0.1,0.12
3245,4.39,4.57
3246,0.25,0.27
3247,2.23,2.35
3248,0.22,0.27
3249,0.12,0.14
3250,0.12,0.15
3251,1.98,2.1
3252,0.47,0.51
3253,1.9,2.04
3254,0.64,0.69
3255,0.31,0.37
3256,0.46,0.49
3257,1.22,1.29
3258,2.69,2.83
3259,1.73,2.14
3260,10.87,11.37
3261,0.1,0.11
3262,0.86,0.91
3263,0.28,0.31
3264,5.1,5.38
3265,1.22,1.28
3266,0.34,0.38
3267,0.95,1
3268,0.34,0.39
3269,0.1,0.11
3270,2.01,2.1
3271,3.39,3.56
3272,0.1,0.11
3273,2.68,2.8
3274,5.94,6.27
3275,0.33,0.39
3276,0.8,0.87
3277,0.15,0.17
3278,0.76,0.82
3279,0.15,0.18
3280,0.66,0.71
3281,0.34,0.39
3282,0.08,0.08
3283,0.82,0.88
3284,2.54,2.66
3285,0.12,0.13
3286,0.09,0.08
3287,0.1,0.11
3288,0.51,0.55
3289,0.34,0.37
3290,0.75,0.81
3291,1.37,1.47
3292,1.14,1.2
3293,0.89,0.94
3294,1.16,1.24
3295,0.27,0.3
3296,1.16,1.22
3297,0.24,0.3
3298,0.48,0.52
3299,0.7,0.76
3300,1.14,1.21
3301,0.09,0.08
3302,0.11,0.12
3303,0.46,0.5
3304,0.62,0.68
3305,0.1,0.11
3306,0.53,0.57
3307,0.69,0.74
3308,0.73,0.79
3309,0.91,1.1
3310,1.25,1.34
3311,3.75,3.97
3312,0.4,0.44
3313,0.16,0.19
3314,1.28,1.35
3315,0.7,0.77
3316,0.63,0.68
3317,0.16,0.19
3318,0.77,0.84
3319,0.1,0.11
3320,12.46,13.29
3321,0.12,0.13
3322,0.65,0.72
3323,0.32,0.35
3324,1.05,1.11
3325,0.76,0.81
3326,7.52,7.87
3327,0.7,0.77
3328,0.33,0.37
3329,0.17,0.2
3330,0.1,0.11
3331,0.41,0.45
3332,0.39,0.42
3333,0.1,0.11
3334,0.29,0.32
3335,0.31,0.37
3336,0.73,0.79
3337,0.84,0.89
3338,0.17,0.2
3339,1.58,1.69
3340,6.78,7.13
3341,0.34,0.4
3342,0.48,0.52
3343,1.16,1.28
3344,0.09,0.11
3345,0.74,0.82
3346,0.57,0.66
3347,0.09,0.11
3348,0.69,0.74
3349,0.56,0.63
3350,2.18,2.28
3351,0.59,0.63
3352,0.63,0.67
3353,0.46,0.56
3354,1.56,1.65
3355,0.43,0.47
3356,2.72,2.84
3357,0.31,0.34
3358,1.65,1.78
3359,2.52,2.65
3360,0.56,0.6
3361,2.68,2.82
3362,2.93,3.06
3363,0.78,0.85
3364,0.08,0.08
3365,2.27,2.38
3366,1.03,1.1
3367,0.51,0.54
3368,0.79,0.85
3369,1.07,1.14
3370,1.05,1.15
3371,1.01,1.06
3372,0.34,0.39
3373,1.66,1.75
3374,1.07,1.13
3375,0.1,0.11
3376,1.56,1.63
3377,0.12,0.15
3378,2.48,2.62
3379,0.11,0.12
3380,3.38,3.57
3381,14.31,15.1
3382,0.76,0.81
3383,0.89,0.95
3384,2.91,3.07
3385,0.95,1.01
3386,0.09,0.08
3387,1.68,1.77
3388,0.58,0.63
3389,0.46,0.51
3390,1.3,1.42
3391,0.47,0.51
3392,0.43,0.46
3393,0.6,0.64
3394,2.29,2.42
3395,0.41,0.44
3396,0.71,0.77
3397,0.48,0.52
3398,0.09,0.11
3399,0.67,0.71
3400,0.1,0.11
3401,1.09,1.15
3402,0.73,0.77
3403,0.16,0.18
3404,0.68,0.74
3405,0.09,0.11
3406,2.36,2.47
3407,2.1,2.23
3408,0.61,0.66
3409,0.73,0.78
3410,0.27,0.3
3411,0.16,0.18
3412,2.72,2.84
3413,1.37,1.44
3414,1.27,1.35
3415,0.17,0.2
3416,1.63,1.83
3417,0.63,0.69
3418,2.37,2.48
3419,0.65,0.72
3420,1.21,1.3
3421,1.58,1.66
3422,0.28,0.34
3423,2.01,2.11
3424,1.35,1.43
3425,2.04,2.18
3426,6.02,6.3
3427,1.01,1.08
3428,2.67,2.78
3429,0.63,0.68
3430,0.11,0.14
3431,1.04,1.13
3432,0.15,0.18
3433,0.51,0.54
3434,0.78,0.84
3435,0.8,0.84
3436,3.38,3.54
3437,1.32,1.38
3438,0.09,0.11
3439,0.76,0.83
3440,0.72,0.78
3441,0.27,0.31
3442,1.01,1.08
3443,0.38,0.41
3444,0.48,0.54
3445,0.75,0.88
3446,0.33,0.36
3447,0.46,0.5
3448,1.85,1.94
3449,0.64,0.69
3450,0.8,0.9
3451,0.38,0.44
3452,2.03,2.13
3453,2.12,2.36
3454,0.26,0.29
3455,0.17,0.2
3456,3.05,3.21
3457,3.5,3.75
3458,0.71,0.76
3459,6.71,7.03
3460,0.91,0.98
3461,2.94,3.07
3462,1.43,1.5
3463,0.09,0.08
3464,0.73,0.8
3465,0.92,0.98
3466,2.08,2.2
3467,1.96,2.06
3468,0.1,0.11
3469,1.42,1.5
3470,0.39,0.42
3471,0.52,0.58
3472,3.84,4.02
3473,2.33,2.44
3474,6,6.28
3475,0.68,0.72
3476,1.88,1.98
3477,0.13,0.16
3478,1.34,1.43
3479,1.46,1.57
3480,0.65,0.7
3481,0.98,1.05
3482,0.1,0.11
3483,2.18,2.27
3484,0.11,0.12
3485,1.06,1.12
3486,2.57,2.83
3487,0.1,0.12
3488,0.34,0.38
3489,0.36,0.39
3490,2.16,2.28
3491,0.83,0.88
3492,0.1,0.11
3493,2.18,2.29
3494,1.77,1.86
3495,1.81,1.91
3496,0.53,0.57
3497,0.67,0.73
3498,1.89,1.99
3499,1.32,1.43
3500,0.74,0.81
3501,0.57,0.61
3502,2.42,2.54
3503,0.77,0.84
3504,0.1,0.11
3505,0.57,0.6
3506,6.52,7.23
3507,2.53,2.64
3508,0.09,0.08
3509,1.97,2.08
3510,0.19,0.24
3511,0.67,0.76
3512,0.65,0.79
3513,6.71,7.03
3514,0.26,0.29
3515,2.51,2.62
3516,8.88,9.29
3517,6.03,6.34
3518,0.11,0.12
3519,0.16,0.19
3520,0.37,0.42
3521,3.62,3.82
3522,0.37,0.4
3523,5.76,6.1
3524,0.64,0.68
3525,0.6,0.66
3526,0.09,0.08
3527,1.46,1.54
3528,3.14,3.32
3529,0.14,0.17
3530,5.25,5.5
3531,0.33,0.37
3532,4.54,4.75
3533,0.65,0.7
3534,0.46,0.54
3535,0.16,0.19
3536,5.17,5.41
3537,0.78,0.84
3538,1.75,1.87
3539,0.1,0.11
3540,2.1,2.21
3541,0.56,0.6
3542,1.12,1.18
3543,1.26,1.35
3544,0.57,0.71
3545,0.86,0.92
3546,0.7,0.75
3547,1.2,1.27
3548,0.88,1
3549,5.48,5.75
3550,2.31,2.43
3551,1.12,1.2
3552,0.79,0.86
3553,0.08,0.08
3554,0.34,0.39
3555,0.8,0.87
3556,13.43,14.26
3557,1.29,1.39
3558,2.98,3.13
3559,0.15,0.17
3560,0.44,0.48
3561,0.09,0.08
3562,2.2,2.3
3563,0.14,0.17
3564,2.59,2.72
3565,0.1,0.12
3566,0.72,0.78
3567,0.72,0.78
3568,2.12,2.23
3569,0.14,0.17
3570,0.09,0.11
3571,1.38,1.47
3572,0.98,1.09
3573,0.74,0.8
3574,0.61,0.65
3575,1.06,1.13
3576,3.9,4.22
3577,1.83,1.93
3578,1.5,1.58
3579,0.36,0.39
3580,0.75,0.82
3581,0.72,0.78
3582,4.43,4.64
3583,0.96,1.03
3584,0.08,0.08
3585,1.04,1.14
3586,2.12,2.22
3587,2.03,2.14
3588,0.71,0.77
3589,2.77,2.91
3590,0.38,0.48
3591,1.37,1.48
3592,0.66,0.71
3593,2.57,2.69
3594,0.54,0.58
3595,0.1,0.11
3596,2.41,2.56
3597,0.58,0.62
3598,2.35,2.45
3599,1.7,1.78
3600,0.09,0.08
3601,3.91,4.09
3602,1.68,1.78
3603,0.46,0.5
3604,14.16,14.88
3605,0.15,0.17
3606,2.29,2.4
3607,0.7,0.75
3608,0.71,0.76
3609,0.37,0.4
3610,2.52,2.65
3611,13.08,13.7
3612,0.6,0.65
3613,0.62,0.68
3614,0.8,0.85
3615,0.17,0.2
3616,0.17,0.2
3617,0.3,0.33
3618,0.69,0.74
3619,0.17,0.2
3620,0.97,1.09
3621,0.12,0.15
3622,0.1,0.12
3623,0.22,0.24
3624,0.11,0.13
3625,0.22,0.24
3626,0.15,0.17
3627,0.12,0.13
3628,0.15,0.16
3629,0.11,0.13
3630,0.31,0.33
3631,0.48,0.56
3632,0.49,0.6
3633,0.09,0.08
3634,0.34,0.38
3635,3.8,4.19
3636,1.21,1.29
3637,0.36,0.4
3638,2.07,2.19
3639,0.22,0.24
3640,0.2,0.23
3641,0.11,0.12
3642,0.13,0.16
3643,0.19,0.21
3644,0.43,0.47
3645,0.51,0.6
3646,0.12,0.14
3647,0.22,0.25
3648,0.25,0.27
3649,0.41,0.47
3650,0.22,0.25
3651,0.38,0.43
3652,0.82,0.92
3653,0.22,0.25
3654,0.22,0.24
3655,0.13,0.15
3656,0.13,0.16
3657,0.11,0.13
3658,0.1,0.11
3659,0.63,0.7
3660,0.13,0.15
3661,0.27,0.29
3662,0.16,0.17
3663,0.41,0.46
3664,0.12,0.14
3665,0.35,0.41
3666,0.5,0.55
3667,0.29,0.31
3668,0.19,0.21
3669,0.18,0.22
3670,0.13,0.15
3671,0.63,0.71
3672,0.12,0.14
3673,0.22,0.25
3674,0.34,0.36
3675,0.21,0.24
3676,0.5,0.54
3677,0.32,0.36
3678,0.31,0.34
3679,0.17,0.19
3680,0.16,0.18
3681,0.18,0.2
3682,0.16,0.17
3683,0.09,0.08
3684,0.22,0.25
3685,0.11,0.13
3686,0.58,0.63
3687,0.12,0.14
3688,0.13,0.15
3689,0.41,0.43
3690,0.35,0.4
3691,0.24,0.29
3692,0.13,0.15
3693,0.38,0.43
3694,0.19,0.21
3695,0.12,0.13
3696,0.22,0.24
3697,0.39,0.44
3698,0.21,0.28
3699,0.1,0.11
3700,0.37,0.42
3701,0.1,0.11
3702,0.35,0.41
3703,0.1,0.12
3704,0.16,0.18
3705,0.13,0.15
3706,0.84,0.92
3707,0.1,0.12
3708,0.37,0.41
3709,0.39,0.43
3710,0.22,0.25
3711,0.22,0.25
3712,0.76,0.83
3713,0.12,0.15
3714,0.14,0.16
3715,0.13,0.16
3716,0.21,0.22
3717,0.13,0.16
3718,0.1,0.12
3719,0.98,1.03
3720,0.22,0.24
3721,0.39,0.44
3722,0.21,0.24
3723,0.39,0.42
3724,0.18,0.2
3725,0.11,0.14
3726,2.29,2.43
3727,1.32,1.4
3728,0.56,0.6
3729,0.33,0.38
3730,0.33,0.37
3731,0.13,0.14
3732,0.35,0.4
3733,0.67,0.71
3734,0.61,0.7
3735,0.14,0.15
3736,0.13,0.15
3737,0.35,0.39
3738,0.13,0.14
3739,0.15,0.16
3740,0.58,0.68
3741,0.24,0.26
3742,1.43,1.52
3743,3.78,4.05
3744,0.26,0.28
3745,0.13,0.16
3746,0.14,0.15
3747,0.4,0.46
3748,0.18,0.21
3749,0.12,0.14
3750,0.19,0.2
3751,4.1,4.41
3752,0.19,0.21
3753,0.17,0.18
3754,0.45,0.49
3755,0.22,0.25
3756,0.43,0.46
3757,0.73,0.84
3758,0.23,0.25
3759,0.18,0.23
3760,0.2,0.23
3761,0.67,0.77
3762,0.09,0.08
3763,1.88,1.99
3764,0.2,0.22
3765,0.13,0.14
3766,0.08,0.06
3767,0.15,0.17
3768,0.53,0.57
3769,0.12,0.13
3770,0.15,0.16
3771,0.22,0.24
3772,0.21,0.23
3773,0.08,0.08
3774,0.32,0.35
3775,0.55,0.63
3776,0.32,0.37
3777,0.62,0.67
3778,0.36,0.41
3779,0.13,0.15
3780,0.63,0.71
3781,0.24,0.3
3782,0.82,0.9
3783,3.44,3.67
3784,0.16,0.18
3785,0.25,0.29
3786,0.34,0.45
3787,0.19,0.21
3788,0.23,0.25
3789,0.15,0.2
3790,0.45,0.48
3791,0.48,0.55
3792,0.25,0.32
3793,0.23,0.3
3794,0.14,0.15
3795,0.23,0.24
3796,0.1,0.11
3797,0.14,0.16
3798,0.1,0.11
3799,0.22,0.24
3800,0.14,0.16
3801,0.15,0.17
3802,0.34,0.4
3803,0.12,0.15
3804,0.11,0.12
3805,0.22,0.24
3806,0.12,0.14
3807,0.14,0.16
3808,0.11,0.13
3809,0.56,0.65
3810,0.44,0.58
3811,4.23,4.58
3812,0.35,0.41
3813,1.06,1.49
3814,0.12,0.13
3815,0.24,0.26
3816,0.48,0.51
3817,0.1,0.11
3818,0.12,0.14
3819,0.21,0.23
3820,0.11,0.12
3821,0.22,0.26
3822,0.8,0.87
3823,0.13,0.16
3824,0.12,0.14
3825,0.14,0.16
3826,0.39,0.45
3827,0.48,0.54
3828,0.14,0.16
3829,0.09,0.11
3830,0.31,0.35
3831,0.49,0.59
3832,0.22,0.25
3833,0.22,0.25
3834,0.13,0.14
3835,0.22,0.24
3836,0.4,0.45
3837,0.22,0.28
3838,0.38,0.44
3839,0.18,0.2
3840,0.23,0.27
3841,0.35,0.4
3842,1.13,1.19
3843,0.17,0.19
3844,0.55,0.63
3845,0.12,0.15
3846,0.38,0.43
3847,0.09,0.08
3848,0.71,0.75
3849,0.35,0.4
3850,0.49,0.58
3851,0.12,0.15
3852,0.22,0.24
3853,1.71,1.81
3854,0.26,0.32
3855,0.41,0.45
3856,0.25,0.32
3857,0.6,0.63
3858,0.48,0.61
3859,0.85,0.9
3860,0.23,0.26
3861,0.52,0.67
3862,2.81,2.98
3863,0.48,0.56
3864,0.18,0.19
3865,0.21,0.26
3866,0.12,0.13
3867,0.1,0.11
3868,0.18,0.21
3869,0.37,0.4
3870,0.14,0.16
3871,0.23,0.29
3872,0.24,0.3
3873,0.55,0.64
3874,0.12,0.13
3875,0.14,0.16
3876,0.22,0.28
3877,0.11,0.12
3878,0.19,0.21
3879,0.11,0.13
3880,0.12,0.15
3881,0.3,0.32
3882,0.47,0.52
3883,0.21,0.23
3884,0.22,0.25
3885,0.08,0.06
3886,0.18,0.2
3887,0.16,0.18
3888,0.13,0.15
3889,0.19,0.21
3890,0.11,0.13
3891,0.22,0.25
3892,0.26,0.28
3893,0.12,0.13
3894,0.13,0.16
3895,0.65,0.71
3896,0.13,0.14
3897,0.13,0.16
3898,0.13,0.14
3899,0.24,0.25
3900,0.18,0.2
3901,0.2,0.22
3902,0.62,0.71
3903,0.2,0.21
3904,0.34,0.38
3905,0.17,0.18
3906,0.24,0.28
3907,0.11,0.13
3908,0.11,0.13
3909,0.69,0.75
3910,0.11,0.12
3911,0.08,0.08
3912,0.22,0.24
3913,0.13,0.16
3914,0.21,0.23
3915,0.38,0.42
3916,0.4,0.46
3917,0.13,0.16
3918,0.8,0.85
3919,0.21,0.24
3920,0.22,0.24
3921,1.56,1.65
3922,0.41,0.47
3923,0.22,0.24
3924,0.23,0.31
3925,0.24,0.3
3926,0.17,0.19
3927,0.75,0.8
3928,0.2,0.26
3929,0.17,0.19
3930,0.21,0.24
3931,0.13,0.16
3932,0.49,0.57
3933,0.35,0.41
3934,0.21,0.27
3935,0.12,0.14
3936,0.13,0.15
3937,0.15,0.17
3938,0.18,0.2
3939,0.09,0.08
3940,0.2,0.22
3941,0.11,0.12
3942,0.2,0.22
3943,0.09,0.11
3944,0.84,0.93
3945,0.12,0.13
3946,0.35,0.38
3947,0.14,0.15
3948,0.13,0.16
3949,0.2,0.23
3950,0.11,0.13
3951,0.18,0.2
3952,0.12,0.16
3953,0.15,0.17
3954,0.35,0.41
3955,0.32,0.37
3956,0.19,0.22
3957,0.25,0.27
3958,2.53,2.69
3959,3.11,3.31
3960,0.52,0.57
3961,0.14,0.16
3962,0.33,0.37
3963,0.21,0.23
3964,0.17,0.19
3965,0.16,0.18
3966,0.22,0.25
3967,0.2,0.22
3968,0.36,0.41
3969,0.22,0.25
3970,0.22,0.25
3971,0.24,0.28
3972,0.13,0.16
3973,0.24,0.26
3974,1.05,1.11
3975,0.26,0.28
3976,2.44,2.91
3977,0.19,0.2
3978,0.14,0.17
3979,0.63,0.67
3980,0.91,0.97
3981,0.54,0.63
3982,0.35,0.4
3983,0.12,0.13
3984,0.79,0.89
3985,0.55,0.59
3986,0.73,0.79
3987,0.18,0.19
3988,0.27,0.32
3989,0.06,0.08
3990,0.06,0.06
3991,0.06,0.06
3992,0.05,0.06
3993,0.99,1.08
3994,0.06,0.08
3995,0.24,0.28
3996,0.49,0.53
3997,0.52,0.57
3998,0.15,0.17
3999,0.04,0.05
4000,0.06,0.08
4001,0.06,0.08
4002,0.09,0.08
4003,0.11,0.13
4004,0.2,0.23
4005,0.18,0.21
4006,0.06,0.06
4007,0.28,0.32
4008,0.05,0.06
4009,0.08,0.06
4010,0.04,0.05
4011,0.36,0.45
4012,0.15,0.17
4013,0.04,0.05
4014,0.1,0.12
4015,0.11,0.13
4016,0.08,0.06
4017,0.06,0.06
4018,0.06,0.06
4019,0.1,0.11
4020,0.21,0.25
4021,0.36,0.42
4022,0.19,0.22
4023,0.13,0.15
4024,1.04,1.12
4025,0.3,0.36
4026,0.08,0.06
4027,0.14,0.16
4028,0.17,0.19
4029,0.06,0.08
4030,0.06,0.06
4031,0.05,0.06
4032,0.22,0.27
4033,0.24,0.29
4034,0.22,0.26
4035,0.08,0.08
4036,0.13,0.15
4037,0.06,0.06
4038,0.09,0.08
4039,0.16,0.18
4040,0.14,0.2
4041,0.08,0.06
4042,0.09,0.08
4043,0.17,0.2
4044,0.19,0.22
4045,0.06,0.06
4046,0.08,0.08
4047,0.09,0.11
4048,0.06,0.06
4049,0.09,0.08
4050,0.74,0.8
4051,0.31,0.38
4052,0.07,0.08
4053,0.07,0.08
4054,0.7,0.75
4055,0.06,0.06
4056,0.15,0.17
4057,0.24,0.28
4058,0.24,0.28
4059,0.18,0.2
4060,0.25,0.29
4061,0.28,0.39
4062,1.06,1.15
4063,0.86,0.93
4064,0.09,0.08
4065,0.06,0.06
4066,0.08,0.08
4067,0.15,0.16
4068,0.07,0.06
4069,0.25,0.29
4070,0.28,0.34
4071,0.06,0.08
4072,0.08,0.06
4073,0.07,0.08
4074,0.05,0.06
4075,0.18,0.21
4076,0.38,0.42
4077,0.06,0.06
4078,0.14,0.15
4079,0.23,0.27
4080,0.06,0.06
4081,0.06,0.06
4082,0.11,0.12
4083,0.66,0.71
4084,0.26,0.31
4085,0.29,0.35
4086,0.23,0.27
4087,0.92,1.05
4088,0.11,0.13
4089,0.26,0.3
4090,0.14,0.17
4091,0.3,0.35
4092,0.06,0.06
4093,0.2,0.24
4094,0.09,0.12
4095,0.08,0.08
4096,0.12,0.13
4097,0.05,0.06
4098,0.06,0.06
4099,0.05,0.06
4100,0.13,0.14
4101,0.05,0.06
4102,0.23,0.27
4103,0.06,0.06
4104,0.05,0.06
4105,0.1,0.12
4106,0.41,0.5
4107,0.37,0.41
4108,0.07,0.08
4109,0.21,0.25
4110,0.07,0.08
4111,0.26,0.3
4112,0.25,0.29
4113,0.28,0.33
4114,0.56,0.6
4115,0.33,0.43
4116,0.12,0.13
4117,0.05,0.06
4118,0.38,0.42
4119,0.08,0.06
4120,0.04,0.06
4121,0.07,0.08
4122,0.09,0.11
4123,0.07,0.08
4124,0.22,0.26
4125,0.06,0.06
4126,0.25,0.3
4127,0.37,0.41
4128,0.25,0.29
4129,0.06,0.06
4130,0.06,0.06
4131,0.05,0.06
4132,0.06,0.06
4133,0.1,0.11
4134,0.07,0.08
4135,0.24,0.28
4136,0.25,0.29
4137,0.3,0.35
4138,0.09,0.08
4139,0.98,1.06
4140,0.11,0.12
4141,0.12,0.14
4142,0.05,0.06
4143,0.08,0.06
4144,0.21,0.25
4145,0.4,0.44
4146,0.07,0.08
4147,0.2,0.23
4148,0.96,1.04
4149,0.06,0.06
4150,0.44,0.48
4151,0.23,0.27
4152,0.25,0.29
4153,0.12,0.14
4154,0.31,0.36
4155,0.05,0.06
4156,0.13,0.16
4157,0.06,0.06
4158,0.33,0.36
4159,0.12,0.13
4160,0.11,0.13
4161,0.26,0.3
4162,0.13,0.14
4163,0.05,0.06
4164,0.22,0.26
4165,0.06,0.06
4166,0.22,0.31
4167,0.11,0.12
4168,0.31,0.37
4169,0.09,0.11
4170,0.15,0.18
4171,0.15,0.16
4172,0.17,0.2
4173,0.21,0.24
4174,0.09,0.08
4175,0.06,0.06
4176,0.09,0.08
4177,0.1,0.12
4178,0.36,0.39
4179,0.06,0.08
4180,0.31,0.36
4181,0.14,0.15
4182,0.71,0.85
4183,0.22,0.26
4184,0.07,0.08
4185,0.04,0.05
4186,0.09,0.11
4187,0.28,0.33
4188,0.24,0.27
4189,0.27,0.33
4190,0.07,0.08
4191,0.06,0.08
4192,0.23,0.26
4193,0.32,0.35
4194,0.24,0.27
4195,0.38,0.47
4196,0.23,0.27
4197,0.28,0.33
4198,0.94,1.01
4199,0.06,0.06
4200,0.06,0.08
4201,0.18,0.19
4202,0.07,0.08
4203,0.27,0.33
4204,0.06,0.08
4205,0.07,0.08
4206,0.24,0.29
4207,0.56,0.69
4208,0.59,0.64
4209,0.31,0.37
4210,0.34,0.4
4211,0.19,0.23
4212,0.08,0.06
4213,0.28,0.33
4214,0.11,0.12
4215,0.13,0.15
4216,0.07,0.08
4217,0.06,0.06
4218,0.24,0.28
4219,0.07,0.08
4220,0.06,0.06
4221,0.27,0.32
4222,0.12,0.14
4223,0.26,0.31
4224,0.29,0.34
4225,0.06,0.06
4226,0.26,0.31
4227,0.23,0.26
4228,0.12,0.14
4229,0.29,0.33
4230,0.22,0.27
4231,0.37,0.42
4232,0.04,0.05
4233,0.1,0.11
4234,0.05,0.06
4235,0.3,0.36
4236,0.06,0.06
4237,0.06,0.08
4238,0.05,0.06
4239,0.2,0.24
4240,0.2,0.23
4241,0.06,0.06
4242,0.05,0.06
4243,0.1,0.11
4244,0.11,0.13
4245,0.11,0.13
4246,0.37,0.42
4247,0.06,0.06
4248,0.23,0.27
4249,0.36,0.4
4250,0.11,0.13
4251,0.1,0.13
4252,0.07,0.08
4253,0.08,0.06
4254,0.06,0.06
4255,0.14,0.17
4256,0.27,0.32
4257,0.9,0.98
4258,0.07,0.08
4259,0.05,0.06
4260,0.04,0.05
4261,0.11,0.13
4262,0.13,0.14
4263,0.06,0.06
4264,0.05,0.05
4265,0.82,0.89
4266,0.05,0.06
4267,0.07,0.08
4268,0.27,0.31
4269,0.08,0.06
4270,0.25,0.3
4271,0.07,0.08
4272,0.09,0.08
4273,0.16,0.17
4274,0.07,0.08
4275,0.07,0.08
4276,0.37,0.42
4277,0.04,0.05
4278,0.06,0.06
4279,0.17,0.18
4280,0.2,0.25
4281,0.05,0.06
4282,0.42,0.46
4283,0.24,0.29
4284,1.01,1.1
4285,0.34,0.38
4286,0.06,0.08
4287,0.27,0.32
4288,0.07,0.06
4289,0.28,0.32
4290,0.06,0.06
4291,0.22,0.27
4292,0.07,0.08
4293,0.06,0.06
4294,0.23,0.27
4295,0.07,0.08
4296,0.04,0.05
4297,0.06,0.06
4298,0.1,0.11
4299,0.29,0.35
4300,0.31,0.35
4301,0.05,0.06
4302,0.22,0.27
4303,0.21,0.26
4304,1,1.12
4305,0.07,0.08
4306,0.14,0.17
4307,0.27,0.32
4308,0.22,0.27
4309,0.04,0.05
4310,0.09,0.08
4311,0.62,0.68
4312,1.05,1.15
4313,0.05,0.06
4314,0.16,0.17
4315,0.47,0.58
4316,0.78,0.84
4317,0.17,0.19
4318,0.27,0.31
4319,0.11,0.15
4320,0.09,0.08
4321,0.83,0.97
4322,0.1,0.11
4323,0.06,0.06
4324,0.07,0.08
4325,0.09,0.08
4326,0.24,0.28
4327,0.06,0.06
4328,0.26,0.31
4329,0.05,0.06
4330,0.46,0.5
4331,0.11,0.12
4332,0.14,0.16
4333,0.08,0.06
4334,0.31,0.36
4335,0.06,0.06
4336,0.06,0.06
4337,0.1,0.12
4338,0.08,0.06
4339,0.26,0.3
4340,0.04,0.05
4341,0.04,0.05
4342,0.08,0.06
4343,0.14,0.17
4344,0.15,0.17
4345,0.16,0.19
4346,0.1,0.11
4347,0.23,0.26
4348,0.04,0.05
4349,0.32,0.37
4350,0.38,0.42
4351,0.08,0.06
4352,0.06,0.06
4353,0.06,0.06
4354,0.07,0.08
4355,0.08,0.06
4356,7.29,7.63
4357,0.05,0.06
4358,0.07,0.06
4359,0.28,0.35
4360,0.06,0.06
4361,0.53,0.57
4362,0.98,1.03
4363,0.05,0.06
4364,0.57,0.62
4365,3.51,3.67
4366,0.08,0.06
4367,0.06,0.06
4368,0.08,0.06
4369,0.58,0.62
4370,0.55,0.59
4371,0.28,0.35
4372,0.69,0.76
4373,0.05,0.06
4374,0.06,0.06
4375,0.14,0.19
4376,0.07,0.08
4377,0.07,0.08
4378,3.82,4.02
4379,0.18,0.21
4380,0.1,0.12
4381,0.22,0.27
4382,1.16,1.23
4383,0.07,0.06
4384,0.68,0.73
4385,0.07,0.08
4386,0.06,0.06
4387,0.05,0.06
4388,0.08,0.06
4389,2.16,2.26
4390,0.05,0.06
4391,6.19,6.47
4392,0.09,0.12
4393,0.05,0.06
4394,3.63,3.79
4395,0.07,0.08
4396,0.08,0.08
4397,0.07,0.08
4398,0.1,0.12
4399,5.44,5.7
4400,0.76,0.82
4401,0.06,0.06
4402,0.76,0.83
4403,0.08,0.06
4404,0.09,0.12
4405,0.06,0.06
4406,0.68,0.74
4407,0.73,0.79
4408,0.15,0.2
4409,0.28,0.36
4410,0.06,0.06
4411,7.39,7.79
4412,0.05,0.06
4413,1.97,2.06
4414,0.05,0.06
4415,0.07,0.08
4416,0.51,0.55
4417,0.62,0.69
4418,0.14,0.17
4419,0.06,0.06
4420,0.05,0.05
4421,0.19,0.23
4422,0.09,0.12
4423,0.06,0.06
4424,0.88,0.93
4425,8.61,9.56
4426,0.66,0.72
4427,0.05,0.06
4428,3.25,3.4
4429,0.06,0.06
4430,1.67,1.75
4431,0.06,0.08
4432,0.4,0.52
4433,0.07,0.06
4434,0.71,0.8
4435,0.16,0.19
4436,23.38,24.26
4437,0.05,0.06
4438,0.59,0.64
4439,0.78,0.85
4440,0.08,0.11
4441,0.66,0.71
4442,0.13,0.15
4443,0.07,0.08
4444,0.05,0.06
4445,0.09,0.11
4446,0.06,0.06
4447,0.06,0.06
4448,0.07,0.06
4449,3.99,4.17
4450,0.13,0.15
4451,4.65,4.87
4452,0.54,0.57
4453,0.14,0.17
4454,0.09,0.11
4455,0.09,0.12
4456,0.07,0.08
4457,0.6,0.65
4458,1.02,1.08
4459,17.66,18.36
4460,0.76,0.8
4461,0.1,0.13
4462,0.08,0.08
4463,0.7,0.78
4464,0.62,0.69
4465,0.09,0.11
4466,4.61,4.82
4467,0.09,0.11
4468,0.06,0.06
4469,0.05,0.05
4470,0.06,0.06
4471,0.66,0.74
4472,0.65,0.72
4473,0.06,0.06
4474,0.07,0.06
4475,0.62,0.69
4476,0.05,0.06
4477,0.06,0.06
4478,12.9,13.42
4479,0.56,0.59
4480,0.68,0.72
4481,0.66,0.73
4482,0.65,0.7
4483,0.21,0.26
4484,1.46,1.53
4485,0.07,0.08
4486,0.05,0.06
4487,0.08,0.08
4488,0.52,0.62
4489,0.5,0.53
4490,0.09,0.11
4491,0.05,0.06
4492,0.05,0.06
4493,0.1,0.12
4494,0.08,0.06
4495,0.17,0.2
4496,0.1,0.13
4497,0.8,0.88
